nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
        74, 1.357112265E-02,-1.083225345E-01, 0.000000000E+00, 1.008847638E+00
        75, 1.346208267E-01,-1.083218438E-01, 0.000000000E+00, 1.010404217E+00
        76, 7.525400639E-03,-1.083213643E-01, 0.000000000E+00, 1.008290710E+00
        77,-2.268854046E-02,-1.083202744E-01, 0.000000000E+00, 1.004892203E+00
        78,-1.070312996E-01,-1.083187186E-01, 0.000000000E+00, 1.000009450E+00
        79,-5.287288094E-02,-1.083171016E-01, 0.000000000E+00, 1.001953283E+00
        80, 1.406779709E-01,-1.083170484E-01, 0.000000000E+00, 1.010354240E+00
        81, 1.961771107E-02,-1.083152011E-01, 0.000000000E+00, 1.009355465E+00
        82, 1.467354050E-01,-1.083133900E-01, 0.000000000E+00, 1.010308452E+00
        83, 6.801681900E-02,-1.083130026E-01, 0.000000000E+00, 1.010945483E+00
        84, 1.480590224E-03,-1.083103730E-01, 0.000000000E+00, 1.007675502E+00
        85, 9.223050690E-02,-1.083096652E-01, 0.000000000E+00, 1.010815509E+00
        86, 3.776224709E-02,-1.083093095E-01, 0.000000000E+00, 1.010409071E+00
        87, 1.527931213E-01,-1.083076599E-01, 0.000000000E+00, 1.010265378E+00
        88,-1.664788055E-02,-1.083055000E-01, 0.000000000E+00, 1.005602333E+00
        89, 1.951771317E-01,-1.083050328E-01, 0.000000000E+00, 1.010025201E+00
        90, 2.566512108E-02,-1.083029602E-01, 0.000000000E+00, 1.009780213E+00
        91,-5.890547562E-02,-1.083021122E-01, 0.000000000E+00, 1.001532521E+00
        92, 7.406948853E-02,-1.083008191E-01, 0.000000000E+00, 1.010936196E+00
        93, 3.171331215E-02,-1.083000766E-01, 0.000000000E+00, 1.010133201E+00
        94,-4.563260913E-03,-1.082992588E-01, 0.000000000E+00, 1.007000894E+00
        95, 8.617635727E-02,-1.082957002E-01, 0.000000000E+00, 1.010868329E+00
        96,-1.060610223E-02,-1.082954635E-01, 0.000000000E+00, 1.006311958E+00
        97, 8.012267685E-02,-1.082946721E-01, 0.000000000E+00, 1.010910502E+00
        98, 1.588511047E-01,-1.082903959E-01, 0.000000000E+00, 1.010223983E+00
        99, 1.891413193E-01,-1.082823825E-01, 0.000000000E+00, 1.010055710E+00
       100,-6.493646812E-02,-1.082754761E-01, 0.000000000E+00, 1.001161530E+00
       101, 1.649093399E-01,-1.082626718E-01, 0.000000000E+00, 1.010186213E+00
       102, 1.709678192E-01,-1.082328111E-01, 0.000000000E+00, 1.010151011E+00
       103,-7.096577454E-02,-1.082232426E-01, 0.000000000E+00, 1.000855010E+00
       104, 1.830854340E-01,-1.082091686E-01, 0.000000000E+00, 1.010086140E+00
       105, 1.770265198E-01,-1.082056392E-01, 0.000000000E+00, 1.010117785E+00
       106,-8.904271698E-02,-1.081958838E-01, 0.000000000E+00, 1.000240210E+00
       107,-7.699330521E-02,-1.081501720E-01, 0.000000000E+00, 1.000601908E+00
       108,-8.301896667E-02,-1.081148833E-01, 0.000000000E+00, 1.000397845E+00
       109, 2.032166799E-01,-1.074097487E-01, 0.000000000E+00, 1.009986432E+00
       110,-1.099982910E-01,-1.071069183E-01, 0.000000000E+00, 1.000000000E+00
       111,-1.083239035E-01,-1.071069183E-01, 0.000000000E+00, 1.000004244E+00
       112, 2.083138123E-01,-1.070591965E-01, 0.000000000E+00, 1.009964563E+00
       113, 2.099982910E-01,-1.070591965E-01, 0.000000000E+00, 1.009959327E+00
       114,-1.029113456E-01,-1.070322893E-01, 0.000000000E+00, 1.000027322E+00
       115, 1.975930297E-01,-1.070004849E-01, 0.000000000E+00, 1.010013397E+00
       116,-9.741484604E-02,-1.067854762E-01, 0.000000000E+00, 1.000083473E+00
       117,-9.169267537E-02,-1.066157022E-01, 0.000000000E+00, 1.000176496E+00
       118,-4.381536888E-02,-1.065567334E-01, 0.000000000E+00, 1.002710286E+00
       119,-3.779652219E-02,-1.065561623E-01, 0.000000000E+00, 1.003263092E+00
       120,-3.177003808E-02,-1.065538465E-01, 0.000000000E+00, 1.003892580E+00
       121,-4.982797373E-02,-1.065531208E-01, 0.000000000E+00, 1.002186698E+00
       122, 1.134382710E-01,-1.065495707E-01, 0.000000000E+00, 1.010607410E+00
       123,-5.584132183E-02,-1.065482033E-01, 0.000000000E+00, 1.001734177E+00
       124, 1.194873886E-01,-1.065478109E-01, 0.000000000E+00, 1.010549671E+00
       125, 1.073867136E-01,-1.065471716E-01, 0.000000000E+00, 1.010668711E+00
       126,-2.573359931E-02,-1.065470388E-01, 0.000000000E+00, 1.004555416E+00
       127, 5.290566086E-02,-1.065456146E-01, 0.000000000E+00, 1.010836661E+00
       128, 1.255352575E-01,-1.065454037E-01, 0.000000000E+00, 1.010489943E+00
       129, 5.895883248E-02,-1.065435372E-01, 0.000000000E+00, 1.010909217E+00
       130, 4.684946926E-02,-1.065426774E-01, 0.000000000E+00, 1.010715905E+00
       131, 1.013281184E-01,-1.065424048E-01, 0.000000000E+00, 1.010733286E+00
       132, 1.315811146E-01,-1.065422068E-01, 0.000000000E+00, 1.010434430E+00
       133, 1.376232100E-01,-1.065397429E-01, 0.000000000E+00, 1.010382791E+00
       134, 1.054123460E-02,-1.065394001E-01, 0.000000000E+00, 1.008585800E+00
       135,-1.969232592E-02,-1.065387859E-01, 0.000000000E+00, 1.005248612E+00
       136, 6.500702733E-02,-1.065383307E-01, 0.000000000E+00, 1.010947112E+00
       137, 1.659832782E-02,-1.065373632E-01, 0.000000000E+00, 1.009122034E+00
       138, 4.484790650E-03,-1.065369056E-01, 0.000000000E+00, 1.008004256E+00
       139, 4.079302398E-02,-1.065369924E-01, 0.000000000E+00, 1.010535196E+00
       140, 1.436662942E-01,-1.065371016E-01, 0.000000000E+00, 1.010335088E+00
       141, 9.526797883E-02,-1.065344926E-01, 0.000000000E+00, 1.010793006E+00
       142,-6.186372200E-02,-1.065340459E-01, 0.000000000E+00, 1.001338441E+00
       143, 1.497150092E-01,-1.065330646E-01, 0.000000000E+00, 1.010290700E+00
       144, 2.265395260E-02,-1.065329265E-01, 0.000000000E+00, 1.009595264E+00
       145,-1.566112683E-03,-1.065323261E-01, 0.000000000E+00, 1.007350044E+00
       146,-1.365069897E-02,-1.065320929E-01, 0.000000000E+00, 1.005963496E+00
       147, 3.474543402E-02,-1.065316344E-01, 0.000000000E+00, 1.010299344E+00
       148, 7.105773313E-02,-1.065312050E-01, 0.000000000E+00, 1.010952032E+00
       149, 2.870119303E-02,-1.065301512E-01, 0.000000000E+00, 1.009980152E+00
       150,-7.611126708E-03,-1.065298435E-01, 0.000000000E+00, 1.006665347E+00
       151, 8.921179338E-02,-1.065279932E-01, 0.000000000E+00, 1.010849608E+00
       152, 7.710876488E-02,-1.065260926E-01, 0.000000000E+00, 1.010932554E+00
       153, 1.557741300E-01,-1.065254512E-01, 0.000000000E+00, 1.010248642E+00
       154, 8.316116198E-02,-1.065242352E-01, 0.000000000E+00, 1.010898616E+00
       155, 1.618401488E-01,-1.065119811E-01, 0.000000000E+00, 1.010208385E+00
       156,-6.790470925E-02,-1.065116034E-01, 0.000000000E+00, 1.000999030E+00
       157, 1.679058419E-01,-1.064980158E-01, 0.000000000E+00, 1.010172420E+00
       158, 1.860670591E-01,-1.064965256E-01, 0.000000000E+00, 1.010074448E+00
       159,-8.588310367E-02,-1.064948589E-01, 0.000000000E+00, 1.000313019E+00
       160, 1.739752559E-01,-1.064797598E-01, 0.000000000E+00, 1.010138064E+00
       161, 1.800326931E-01,-1.064771995E-01, 0.000000000E+00, 1.010105748E+00
       162,-7.395520391E-02,-1.064763472E-01, 0.000000000E+00, 1.000720584E+00
       163, 1.922576306E-01,-1.064612862E-01, 0.000000000E+00, 1.010043802E+00
       164,-7.996763651E-02,-1.064583176E-01, 0.000000000E+00, 1.000492298E+00
       165, 2.026076470E-01,-1.044981742E-01, 0.000000000E+00, 1.010002701E+00
       166, 1.984132070E-01,-1.044972302E-01, 0.000000000E+00, 1.010019120E+00
       167,-1.029313440E-01,-1.035813963E-01, 0.000000000E+00, 1.000032153E+00
       168,-9.755206489E-02,-1.035432720E-01, 0.000000000E+00, 1.000087161E+00
       169, 1.922858784E-01,-1.033238466E-01, 0.000000000E+00, 1.010063888E+00
       170, 1.073892109E-01,-1.032722484E-01, 0.000000000E+00, 1.010698921E+00
       171, 1.134376214E-01,-1.032703929E-01, 0.000000000E+00, 1.010635184E+00
       172, 1.194833086E-01,-1.032642303E-01, 0.000000000E+00, 1.010575445E+00
       173, 5.290486556E-02,-1.032606865E-01, 0.000000000E+00, 1.010900775E+00
       174, 1.013379090E-01,-1.032587495E-01, 0.000000000E+00, 1.010763592E+00
       175,-3.177279953E-02,-1.032582057E-01, 0.000000000E+00, 1.003888325E+00
       176,-3.779520433E-02,-1.032543759E-01, 0.000000000E+00, 1.003251935E+00
       177, 4.685652150E-02,-1.032528455E-01, 0.000000000E+00, 1.010785318E+00
       178, 1.255295656E-01,-1.032480504E-01, 0.000000000E+00, 1.010516646E+00
       179,-2.574384302E-02,-1.032423109E-01, 0.000000000E+00, 1.004559814E+00
       180,-4.380965724E-02,-1.032399546E-01, 0.000000000E+00, 1.002711700E+00
       181, 5.895026437E-02,-1.032383374E-01, 0.000000000E+00, 1.010967503E+00
       182, 1.054196334E-02,-1.032356423E-01, 0.000000000E+00, 1.008658103E+00
       183, 1.659217229E-02,-1.032279348E-01, 0.000000000E+00, 1.009200106E+00
