nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
      3607,-3.493754147E-03,-1.026010000E-02, 0.000000000E+00, 1.146695176E+00
      3608, 6.931409333E-03,-1.025926323E-02, 0.000000000E+00, 1.262140289E-01
      3609, 7.441918824E-03,-1.025904889E-02, 0.000000000E+00, 1.434778755E-01
      3610, 2.973491039E-03,-1.025757457E-02, 0.000000000E+00, 1.091741021E-01
      3611, 2.054698837E-03,-1.025650536E-02, 0.000000000E+00, 1.556394673E-01
      3612,-1.038226175E-02,-1.024683529E-02, 0.000000000E+00, 9.048021277E-01
      3613,-8.133248819E-06,-1.024606252E-02, 0.000000000E+00, 2.571424951E-01
      3614, 1.201066241E-02,-1.024540556E-02, 0.000000000E+00, 2.576714531E-01
      3615,-1.451837500E-02,-1.024481072E-02, 0.000000000E+00, 8.857020535E-01
      3616, 2.473992321E-04,-1.024320643E-02, 0.000000000E+00, 2.223619661E-01
      3617,-2.636829434E-04,-1.024281403E-02, 0.000000000E+00, 2.915168926E-01
      3618, 1.282321862E-03,-1.023706978E-02, 0.000000000E+00, 1.503429932E-01
      3619,-1.299485179E-03,-1.023487039E-02, 0.000000000E+00, 5.612398454E-01
      3620, 8.370954627E-03,-1.023482724E-02, 0.000000000E+00, 1.340173945E-01
      3621, 5.035681264E-04,-1.023410017E-02, 0.000000000E+00, 1.880108687E-01
      3622,-5.198795644E-04,-1.023330745E-02, 0.000000000E+00, 3.252579800E-01
      3623, 3.074308779E-03,-1.022996850E-02, 0.000000000E+00, 8.149635639E-02
      3624, 5.010403994E-03,-1.022953708E-02, 0.000000000E+00, 1.029822191E-01
      3625,-4.288789954E-03,-1.022598759E-02, 0.000000000E+00, 1.166149567E+00
      3626,-2.090019200E-03,-1.022475916E-02, 0.000000000E+00, 8.205350508E-01
      3627, 7.601006197E-04,-1.021854211E-02, 0.000000000E+00, 1.545498061E-01
      3628,-7.764692643E-04,-1.021737243E-02, 0.000000000E+00, 3.594775770E-01
      3629,-4.520717413E-03,-1.021363478E-02, 0.000000000E+00, 1.155586679E+00
      3630, 1.540478966E-03,-1.020128142E-02, 0.000000000E+00, 1.154218429E-01
      3631,-1.557280811E-03,-1.019848852E-02, 0.000000000E+00, 5.938644846E-01
      3632, 2.078134957E-03,-1.019833205E-02, 0.000000000E+00, 8.449525702E-02
      3633, 1.016808176E-03,-1.019648513E-02, 0.000000000E+00, 1.221032901E-01
      3634,-1.033485476E-03,-1.019489520E-02, 0.000000000E+00, 3.928938135E-01
      3635, 2.384332960E-03,-1.018907721E-02, 0.000000000E+00, 7.978659403E-02
      3636,-8.085413442E-06,-1.018851135E-02, 0.000000000E+00, 1.841493175E-01
      3637,-3.794058276E-03,-1.018584315E-02, 0.000000000E+00, 1.151874909E+00
      3638, 2.460296645E-04,-1.018564111E-02, 0.000000000E+00, 1.567548114E-01
      3639,-6.114230857E-03,-1.018551832E-02, 0.000000000E+00, 1.066834241E+00
      3640,-2.622212083E-04,-1.018524789E-02, 0.000000000E+00, 2.116401478E-01
      3641,-1.962777463E-02,-1.018249117E-02, 0.000000000E+00, 9.157457848E-01
      3642, 3.577677694E-03,-1.018210007E-02, 0.000000000E+00, 7.393257717E-02
      3643,-4.400060354E-02,-1.018196612E-02, 0.000000000E+00, 9.857404478E-01
      3644,-2.439526754E-03,-1.018160550E-02, 0.000000000E+00, 8.975227527E-01
      3645, 3.392472373E-03,-1.017888949E-02, 0.000000000E+00, 6.286447323E-02
      3646,-5.490378954E-03,-1.017721303E-02, 0.000000000E+00, 1.102351496E+00
