nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
        74, 1.357112265E-02,-1.083225345E-01, 0.000000000E+00, 1.006653113E+00
        75, 1.346208267E-01,-1.083218438E-01, 0.000000000E+00, 1.007120887E+00
        76, 7.525400639E-03,-1.083213643E-01, 0.000000000E+00, 1.006264089E+00
        77,-2.268854046E-02,-1.083202744E-01, 0.000000000E+00, 1.003765616E+00
        78,-1.070312996E-01,-1.083187186E-01, 0.000000000E+00, 1.000007557E+00
        79,-5.287288094E-02,-1.083171016E-01, 0.000000000E+00, 1.001517782E+00
        80, 1.406779709E-01,-1.083170484E-01, 0.000000000E+00, 1.007070234E+00
        81, 1.961771107E-02,-1.083152011E-01, 0.000000000E+00, 1.006997993E+00
        82, 1.467354050E-01,-1.083133900E-01, 0.000000000E+00, 1.007024037E+00
        83, 6.801681900E-02,-1.083130026E-01, 0.000000000E+00, 1.007822172E+00
        84, 1.480590224E-03,-1.083103730E-01, 0.000000000E+00, 1.005824972E+00
        85, 9.223050690E-02,-1.083096652E-01, 0.000000000E+00, 1.007577335E+00
        86, 3.776224709E-02,-1.083093095E-01, 0.000000000E+00, 1.007655827E+00
        87, 1.527931213E-01,-1.083076599E-01, 0.000000000E+00, 1.006980948E+00
        88,-1.664788055E-02,-1.083055000E-01, 0.000000000E+00, 1.004299352E+00
        89, 1.951771317E-01,-1.083050328E-01, 0.000000000E+00, 1.006748138E+00
        90, 2.566512108E-02,-1.083029602E-01, 0.000000000E+00, 1.007276102E+00
        91,-5.890547562E-02,-1.083021122E-01, 0.000000000E+00, 1.001192198E+00
        92, 7.406948853E-02,-1.083008191E-01, 0.000000000E+00, 1.007774303E+00
        93, 3.171331215E-02,-1.083000766E-01, 0.000000000E+00, 1.007496910E+00
        94,-4.563260913E-03,-1.082992588E-01, 0.000000000E+00, 1.005334888E+00
        95, 8.617635727E-02,-1.082957002E-01, 0.000000000E+00, 1.007649474E+00
        96,-1.060610223E-02,-1.082954635E-01, 0.000000000E+00, 1.004827854E+00
        97, 8.012267685E-02,-1.082946721E-01, 0.000000000E+00, 1.007716596E+00
        98, 1.588511047E-01,-1.082903959E-01, 0.000000000E+00, 1.006939895E+00
        99, 1.891413193E-01,-1.082823825E-01, 0.000000000E+00, 1.006776741E+00
       100,-6.493646812E-02,-1.082754761E-01, 0.000000000E+00, 1.000904741E+00
       101, 1.649093399E-01,-1.082626718E-01, 0.000000000E+00, 1.006902726E+00
       102, 1.709678192E-01,-1.082328111E-01, 0.000000000E+00, 1.006868247E+00
       103,-7.096577454E-02,-1.082232426E-01, 0.000000000E+00, 1.000667007E+00
       104, 1.830854340E-01,-1.082091686E-01, 0.000000000E+00, 1.006805518E+00
       105, 1.770265198E-01,-1.082056392E-01, 0.000000000E+00, 1.006835934E+00
       106,-8.904271698E-02,-1.081958838E-01, 0.000000000E+00, 1.000187781E+00
       107,-7.699330521E-02,-1.081501720E-01, 0.000000000E+00, 1.000470155E+00
       108,-8.301896667E-02,-1.081148833E-01, 0.000000000E+00, 1.000310871E+00
       109, 2.032166799E-01,-1.074097487E-01, 0.000000000E+00, 1.006713433E+00
       110,-1.099982910E-01,-1.071069183E-01, 0.000000000E+00, 1.000000000E+00
       111,-1.083239035E-01,-1.071069183E-01, 0.000000000E+00, 1.000003392E+00
       112, 2.083138123E-01,-1.070591965E-01, 0.000000000E+00, 1.006695063E+00
       113, 2.099982910E-01,-1.070591965E-01, 0.000000000E+00, 1.006690396E+00
